Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;R;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
0;0;500578283;Flexity Wien Fahrzeug 3-18;1;ST;1;86;15;SP;1;PD;E;HALB;;;;
1;2;500534357;Rohbau 1041;1;ST;1;86;15;SP;1;PD;E;HALB;INV;W-VIE001;;
7;2;500336097;Schweissm.M5 DIN929-A4;4;ST;;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;X
7;381;500428238;Punktnaht für Schweißmutter EN15085-3;4;ST;1;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
3;208;650010409;Sechskantm.M5 ISO4032 A4-80;2;ST;;86;88;SP;1;ND;F;ROH;EUNI;74217;W09;X
3;23;500057305;Sperrkantscheibe SKB-8-NrFSt;3;ST;;86;88;SP;1;ND;F;ROH;M1FL;W-FIN001;W09;X
3;23;500057305;Sperrkantscheibe SKB-8-NrFSt;9;ST;;86;88;SP;1;ND;F;ROH;S4BS;W-FIN001;W09;X
