16.09.2019                                                      Dynamische Listenausgabe                                                              1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Stf;Pos.;EKG;Material P;Objektkurztext;     Menge;ME;SchGut;R;Werk;LOrt;ArbPlatz;ZTP;ÄndNr;Horiz;DMk;BeschArt;MArt
;6;7;W05;500549870;Rippe 2;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;8;W05;500549871;Rippe 3;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;9;W05;500558973;Kragenblech;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;10;W09;500437633;Schweissm.M16 DIN929-A4;1;ST;X;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;6;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;1;ST;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;432;W90;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,718;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;451;W90;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    0,471;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;452;W90;500440390;Doppel-KN a4 EN15085-3 CPC2 G199L;    0,574;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;562;W90;500446210;Langlochnaht 8 EN15085-3 CPC2 G199L;    0,160;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;571;;500454527;Langlochnaht 5 EN15085-3 CPC2 G199L;    0,020;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1218;W90;500434910;Kehlnaht a3 EN15085-3 CPC2 G2293NL;1,341;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1237;W90;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,043;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1238;W90;500438158;Doppel-KN a4 EN15085-3 CPC2 G2293NL;    0,877;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1286;W90;500441886;Y-Naht_7_CPC2__EN15085-3_G2293NL;    0,452;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1301;W90;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    0,245;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1302;W90;500434859;HY-Naht 5 EN15085-3 CPC2 G2293NL;    0,468;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;6;1304;W90;500437704;HY-Naht 7 EN15085-3 CPC2 G2293NL;    0,597;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;5;W05;500566696;Befestigungslasche;1;ST;;;86;88;S4BS;SP;73053;1;PD;F;ROH
;5;7;W09;500206951;Schweissm.M8 DIN929-A4;8;ST;X;;86;88;S4BS;SP;73053;1;ND;F;ROH
;5;8;W05;500362090;Erdungslasche D11 Bl 5x30x45 ISO9445;1;ST;;;86;88;S4BS;SP;72431;100;PD;F;HALB
;5;9;W09;500336097;Schweissm.M5 DIN929-A4;3;ST;;;86;88;S4BS;SP;72884;1;PD;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;11;ST;X;1;86;88;S4BS;SP;73053;1;PD;F;KBEI
;5;431;W90;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,034;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;432;W90;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,659;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;442;W90;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,130;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;450;W90;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,085;M;X;1;86;88;S4BS;SP;73053;1;PD;F;KBEI
;5;480;W90;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,192;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;485;;500550715;HV-Naht 8 EN15085-3 CPC2 G199L;    0,314;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;1,066;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;522;W90;500443683;HY-Naht 7 EN15085-3 CPC2 G199L;1,177;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;545;W90;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,930;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;1218;W90;500434910;Kehlnaht a3 EN15085-3 CPC2 G2293NL;    0,070;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;1300;W90;500439421;HY-Naht 3 EN15085-3 CPC2 G2293NL;    0,504;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;5;1301;W90;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    0,652;M;X;1;86;88;S4BS;SP;72431;1;PD;F;KBEI
;4;2;B30;500540640;Innerer Längsträger li kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549881;Kupplungs laengstraeger li;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W05;500549893;Verbindungselement links Laengstr.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;3;W05;500549883;Deckblech li;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;4;W09;500336097;Schweissm.M5 DIN929-A4;6;ST;;;86;88;S4BS;SP;72884;1;PD;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;6;ST;X;1;86;88;S4BS;SP;72884;1;PD;F;KBEI
;5;431;W90;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,360;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;5;481;W90;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,482;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;5;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,856;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;4;3;B30;500540641;Innerer Längsträger re kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549884;Kupplungs laengstraeger re;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W05;500549894;Verbindungselement rechts Laengstr.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;3;W05;500549886;Deckblech re;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;4;W09;500336097;Schweissm.M5 DIN929-A4;3;ST;;;86;88;S4BS;SP;72884;1;PD;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;3;ST;X;1;86;88;S4BS;SP;72884;1;PD;F;KBEI
;5;431;W90;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,360;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;5;481;W90;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,482;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
