Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 2;0003;586397WT3;Klebeteile Dach WT3-AB;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;76465;;
 3;0210;500576326;Kragen;      2;ST;86;SP;001;PD;F;ROH;;88;S1MOB3;74933;W05;
 3;0211;500576319;Kragen;      2;ST;86;SP;001;PD;F;ROH;;88;S1MOB3;74933;W05;
 3;0212;500576328;Kragen;      1;ST;86;SP;001;PD;F;ROH;;88;S1MOB3;75097;W05;
 3;0213;500576311;Kragen;      2;ST;86;SP;001;PD;F;ROH;;88;S1MOB3;75097;W05;
 3;0214;500576313;Kragen;      2;ST;86;SP;001;PD;F;ROH;;88;S1MOB3;75097;W05;
 3;0220;500415872;Gista-Profil 4610113 EPDM schwarz; 10,100;M;86;SP;001;PD;F;ROH;1;88;S1MOB3;75097;W02;
 3;0001;500546972;Klebstoff Teroson MS 9399 grau 2x200ml;  0,135;KG;86;SP;001;PD;F;ROH;1;88;S1MOB3;W-VIE001M;W09;
 1;0004;500563235;Ausbau 313 Innen/Dach;      1;ST;86;SP;001;PD;E;HALB;1;15;INV;B-GOT001;;
 2;0004;588904WT3;Montage Dachblenden WT3-AC;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;75291;;
 3;0001;500570710;Dachblende Typ2;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W06;
 3;0002;500570712;Dachblende Typ4;      6;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W06;
 3;0003;500570679;Dachblende Typ1;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W06;
 3;0004;500570677;Halter Dachblende Typ3 li vst;      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W05;
 3;0005;500570678;Halter Dachblende Typ3 re vst;      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W05;
 3;0006;500570675;Halter Dachblende Typ1 vst;     10;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W05;
 3;0007;500570676;Halter Dachblende Typ2 vst;      8;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W05;
 3;0008;500329847;Sechskantschr.M8x40 ISO4017-A4-80;     52;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76428;W09;X
 3;0009;500526479;Spannhülse Rd 16x20 M8;     44;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W05;
 3;0010;500574271;Halter Aussenlautsprecher vst;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;71509;W05;
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;S2MOB3;75134;W09;
 3;0013;500597002;Dachblende Typ6;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W06;
 3;0014;500597004;Dachblende Typ7;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W06;
 3;0015;500596993;Traverse geschw;      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W05;
 3;0016;500596994;Einhaengeoese geschw;      4;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W05;
 3;0017;500596999;Anschlagblech;      4;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W05;
 3;0018;500597000;Gewindeplatte 20x70x75 ISO9445;      4;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W05;
 3;0019;500597001;Abdeckung Bl 2x50x116,5 ISO9445;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W05;
 3;0021;500327166;Sechskantschr.M8x20 ISO4017-A4-80;     16;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76428;W09;X
 3;0022;500057305;Sperrkantscheibe SKB-8-NrFSt;     16;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76428;W09;X
 3;0023;500597385;Halbrundkopfschr.M5x10 ISO7380-2-A4-70;      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76428;W02;
 3;0011;500340296;Loctite 243 Schraubensicherung;  0,018;KG;86;SP;001;PD;F;ROH;1;88;S2MOB3;W-VIE001;W09;
 3;0001;700011785;Korrosionsschutz - Tectyl 846;  0,000;KG;86;SP;001;PD;F;ROH;1;88;S2MOB3;75134;W09;
 2;0005;500558644;Montage E-Geräte Dach WT3-A;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
 3;0001;500559081;Gelenk-Klemmkasten-groß;      1;ST;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W05;
 3;0002;500571548;Stromabnehmerrahmen;      1;ST;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W05;
 3;0003;500579097;Stromabnehmer SBE 920.505;      1;ST;86;SP;001;PD;F;KBEI;1;88;S2MOB3;B-GOT001;WPM;
 3;0005;500576321;Klimagerät HKL355-GSAB;      1;ST;86;SP;001;PD;F;KBEI;1;88;S2MOB3;B-GOT001;WPM;
 3;0006;500576366;Rückkühler MKA 551-GSAB;      1;ST;86;SP;001;PD;F;KBEI;1;88;S2MOB3;B-GOT001;WPM;
 3;0007;500579160;Dachgerätegehäuse DGG550;      1;ST;86;SP;001;PD;F;KBEI;1;88;S2MOB3;B-GOT001;WPM;
 3;0008;500563213;Gelenkklemmkasten M Grösse WT3;      1;ST;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W05;
 3;0009;500387937;"Kuckuck Haube 300x68;  930516-10";      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W11;
 3;0010;500578419;GPS Antenne  76953E047;      1;ST;86;SP;001;PD;F;LBEI;;88;S2MOB3;76520;W01;
 3;0050;500579043;Trennsteg TP 75x3000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0051;500579151;Trennsteg TPS 75x2160 Edelstahl;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
