Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 3;0043;500276812;Senkschr.M6x20 ISO10642-A2-70;      9;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0044;500438904;dpls Klebeband VHB 4910 19x1 mm glasklar;  0,114;M;86;SP;001;PD;F;ROH;1;88;M4FL;W-FZUTGE;W09;
 3;0045;815001511;Sperrkantscheibe SKS-5-NrFSt;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0046;815001308;Sperrkantscheibe SKS-6-NrFSt;      6;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0047;500289534;Scheibe 5 ISO7093-1 200HV-A2;      8;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0048;812015636;Scheibe 5 ISO7089-200HV-A2;      3;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0049;500053323;Sperrkantscheibe SKB-6-NrFSt;      3;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0050;812020177;Sperrkantscheibe SKS-4-NrFSt;      3;ST;86;SP;001;ND;F;ROH;;88;M4FL;75323;W09;X
 3;0051;815001200;Scheibe 3 ISO7089-200HV-A2;     12;ST;86;SP;001;ND;F;ROH;;88;M4FL;75323;W09;X
 3;0052;500330773;Scheibe 1184199 f.Senkschr.M6 INOX A1;      9;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;75134;W09;
 3;0001;700040869;Loctite 222 BO 50ML EGFD;  0,050;KG;86;SP;001;V1;F;ROH;1;88;M4FL;B-BAS001;W09;
 3;0055;500563315;T-Griffschlüssel 4-Kant 8mm;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;75323;W05;
 3;0056;500311906;Federklammer X130-10L X10CrNi18-8;      1;ST;86;SP;001;ND;F;ROH;;88;M4FL;75323;W02;X
 3;0057;500491726;Federklammer X130-8L X10CrNi18-8;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;75323;W02;X
 3;0058;500242975;Halbrundkopfschr.M4x16 ISO7380-1-A2-70;      1;ST;86;SP;001;ND;F;ROH;;88;M4FL;75323;W09;X
 2;0006;567883CM1;Anbau Feuerloescher CM;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500594196;Feuerloescher Gloria P6 Pro;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;75743;W02;
 3;0002;500517501;Halter Gloria    355344;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001M;W02;
 3;0003;700014268;Sechskantschraube M 8X25 ISO 4017-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001M;W09;X
 3;0004;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001M;W09;X
 3;0005;700019602;Sechskantm.M8 ISO4032-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001M;W09;X
 2;0007;567874CM1;Anbau Fahrersitz;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500583401;Fahrersitz kpl;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0002;500329841;Sechskantschr.M12x70 ISO4017-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0003;815001309;Sperrkantscheibe SKM12-Nrst;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0011;500340296;Loctite 243 Schraubensicherung;  0,001;KG;86;SP;001;PD;F;ROH;1;88;M4FL;W-VIE001;W09;
 3;0001;500325708;Klebstoff Terostat MS 935 grau 290ml;  2,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;70887;W09;
 2;0008;567929CM1;Anbau Pult CM;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500579092;Pult kpl;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZUTGE;W06;
 3;0003;500579084;Einschub;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZUTGE;W05;
 3;0004;500453470;Zylinderschr.M8x40 ISO4762-A4-80;      8;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZUTGE;W09;X
