Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
6;443;500439259;Kehlnaht z4 EN15085-3 CPC2 G199L;    0,810;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,116;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;462;500440391;V-Naht 4 EN15085-3 CPC2 G199L;    0,470;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;463;500443449;V-Naht 5 EN15085-3 CPC2 G199L;1,002;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,100;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,446;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,628;M;86;88;SP;1;PD;F;KBEI;S4BS;73225;W90;X
6;553;500429309;Lochnaht 5 EN15085-3 CPC2 G199L;8;ST;86;88;SP;1;PD;F;KBEI;S4BS;71429;;X
6;1201;500439551;Flächennaht EN15085-4 CPC3 Dmr.5 St;4;ST;86;88;SP;1;PD;F;KBEI;S4BS;71973;;X
5;2;500538841;Pufferträger kpl.CM;1;ST;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
6;1;500533396;Puffertraeger CM1 kpl.Li.;1;ST;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
7;1;500539074;Flanschplatte Li;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;2;500539075;Blech Li Puffertraeger;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;3;500539073;Rippe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;4;500539076;Versteifung Li;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    0,170;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
7;444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,090;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
7;451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    0,274;M;86;88;SP;1;PD;F;KBEI;S4BS;72783;W90;X
7;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,207;M;86;88;SP;1;PD;F;KBEI;S4BS;71404;W90;X
7;1237;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,256;M;86;88;SP;1;PD;F;KBEI;S4BS;71713;W90;X
7;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;1,496;M;86;88;SP;1;PD;F;KBEI;S4BS;71713;W90;X
6;2;500533397;Puffertraeger CM1 kpl. Re;1;ST;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
7;1;500539081;Flanschplatte Re;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;2;500539071;Blech RE Puffertraeger;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;3;500539073;Rippe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;4;500539072;Versteifung Re;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
7;433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    0,170;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
7;444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,090;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
7;451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    0,274;M;86;88;SP;1;PD;F;KBEI;S4BS;72783;W90;X
7;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,207;M;86;88;SP;1;PD;F;KBEI;S4BS;72783;W90;X
7;1237;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,256;M;86;88;SP;1;PD;F;KBEI;S4BS;71713;W90;X
7;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;1,496;M;86;88;SP;1;PD;F;KBEI;S4BS;71713;W90;X
6;3;500539079;Quertraeger vorn;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;4;500539125;Blech Trittstufe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;5;500539128;Obergurt;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;6;500539129;Konsole re;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;7;500539124;Konsole Mitte;2;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;8;500539123;Konsole li;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;9;500539121;Rippe re;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;10;500539122;Rippe li;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;11;500539127;Untergurt;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;12;500539126;U-Profil Anhebestelle;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;13;500539078;Rippe Anhebestelle;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;14;500539077;Buchse;4;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
6;15;500437633;Schweissm.M16 DIN929-A4;2;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W09;X
6;16;500548849;Rippe Mitte CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;71404;W05;
6;381;500428238;Punktnaht für Schweißmutter EN15085-3;2;ST;86;88;SP;1;PD;F;KBEI;S4BS;71404;W90;X
6;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,668;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;W90;X
6;433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;1,042;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;W90;X
6;435;500542903;Kehlnaht a6 EN15085-3 CPC2 G199L;    0,908;M;86;88;SP;1;PD;F;KBEI;S4BS;71404;;X
6;442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,268;M;86;88;SP;1;PD;F;KBEI;S4BS;71404;W90;X
6;452;500440390;Doppel-KN a4 EN15085-3 CPC2 G199L;    0,330;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;W90;X
6;482;500440392;HV-Naht 5 EN15085-3 CPC2 G199L;    0,240;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;517;500424303;HY-Naht 2 EN15085-3 CPC2 G199L;    0,294;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;7,070;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;W90;X
6;522;500443683;HY-Naht 7 EN15085-3 CPC2 G199L;    0,611;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
6;1221;500436620;Kehlnaht a6 EN15085-3 CPC2 G2293NL;    0,560;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;;X
6;1238;500438158;Doppel-KN a4 EN15085-3 CPC2 G2293NL;    0,154;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;W90;X
6;1239;500438159;Doppel-KN a5 EN15085-3 CPC2 G2293NL;    0,760;M;86;88;SP;1;PD;F;KBEI;S4BS;73224;;X
5;3;500539146;Seitenblech li.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;4;500539147;Seitenblech re.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;5;500539145;Vertikaler Traeger oben li..;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;6;500539143;Vertikaler Traeger oben re.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
