Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
3;77;500556989;Stuetzblech re.;1;ST;86;88;SP;1;PD;F;ROH;QA11;71975;W05;
3;78;500557010;Stuetzblech li.;1;ST;86;88;SP;1;PD;F;ROH;QA11;71975;W05;
3;79;500556667;Blech Klebeauflage;2;ST;86;88;SP;1;PD;F;ROH;QA11;71975;W05;
3;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;11,119;M;86;88;SP;1;PD;F;KBEI;QA11;76820;W90;X
3;432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,602;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    0,330;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;441;500424306;Kehlnaht z2 EN15085-3 CPC2 G199L;    0,023;M;86;88;SP;1;PD;F;KBEI;QA11;71975;W90;X
3;442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;1,309;M;86;88;SP;1;PD;F;KBEI;QA11;72783;W90;X
3;444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,345;M;86;88;SP;1;PD;F;KBEI;QA11;72896;W90;X
3;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;1,630;M;86;88;SP;1;PD;F;KBEI;QA11;74719;W90;X
3;451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;1,081;M;86;88;SP;1;PD;F;KBEI;QA11;72896;W90;X
3;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;2,068;M;86;88;SP;1;PD;F;KBEI;QA11;72896;W90;X
3;482;500440392;HV-Naht 5 EN15085-3 CPC2 G199L;    0,176;M;86;88;SP;1;PD;F;KBEI;QA11;72132;W90;X
3;483;500425892;HV-Naht 6 EN15085-3 CPC2 G199L;    0,140;M;86;88;SP;1;PD;F;KBEI;QA11;72896;W90;X
3;517;500424303;HY-Naht 2 EN15085-3 CPC2 G199L;1,831;M;86;88;SP;1;PD;F;KBEI;QA11;71975;W90;X
3;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,605;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,458;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;537;500424322;I-Naht 2 EN15085-3 CPC2 G199L;1,076;M;86;88;SP;1;PD;F;KBEI;QA11;71975;W90;X
3;538;500427730;I-Naht 3 EN15085-3 CPC2 G199L;    0,132;M;86;88;SP;1;PD;F;KBEI;QA11;71975;W90;X
3;540;500424323;HY-Naht 1,5 EN15085-3 CPC2 G199L;8,372;M;86;88;SP;1;PD;F;KBEI;QA11;72783;W90;X
3;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;3,185;M;86;88;SP;1;PD;F;KBEI;QA11;74719;W90;X
3;1202;500439786;Flächennaht EN15085-4 CPC3 Dmr.6 St;4;ST;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1203;500435548;Flächennaht EN15085-4 CPC3 Dmr.8 St;7;ST;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1217;500434907;Kehlnaht a2 EN15085-3 CPC2 G2293NL;2,650;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1228;500435020;Kehlnaht z3 EN15085-3 CPC2 G2293NL;    0,900;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1236;500434909;Doppel-KN a2 EN15085-3 CPC2 G2293NL;2,222;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1237;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,490;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1249;500437702;V-Naht 6 EN15085-3 CPC2 G2293NL;1,490;M;86;88;SP;1;PD;F;KBEI;QA11;72896;;X
3;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;1,044;M;86;88;SP;1;PD;F;KBEI;QA11;W-VIE001M;W90;X
3;1334;500439794;Langlochnaht 5 EN15085-3 CPC2 G2293NL;    0,063;M;86;88;SP;1;PD;F;KBEI;QA11;71975;;X
3;1;500582751;Rohbau PRK;1;ST;86;88;SP;100;PD;F;HALB;S4BS;75472;W05;
3;2;500582751;Rohbau PRK;1;ST;86;88;SP;100;PD;F;HALB;S4BS;75472;W05;
3;3;500583471;Distanzhuelse Ro 12x1,5x70;2;ST;86;88;SP;100;PD;F;HALB;S4BS;75472;W05;
3;4;700034867;Sechskantschr.M8x90 ISO4017-A2-70;2;ST;86;88;SP;1;ND;F;ROH;S4BS;75472;W09;X
3;5;700043179;Scheibe 8 ISO7089-200HV-A2;2;ST;86;88;SP;1;ND;F;ROH;S4BS;75472;W09;X
1;1;500534511;Farbe 2011 Fzg. 3-31;1;ST;86;15;SP;1;PD;E;HALB;INV;74362;;
2;1;SANDCM1;Sandstrahlen CM1 C375;1;ST;86;15;SP;300;PD;E;HALB;INV;W-VIE001M;;
2;2;532503CM1;Lackierung Rohbau CM1 C375;1;ST;86;15;SP;300;PD;E;HALB;INV;W-VIE001M;;
3;1;500325708;Klebstoff Terostat MS 935 grau 290ml;    0,001;KG;86;88;SP;1;PD;F;ROH;PA02;W-VIE001M;W09;
2;3;500551776;Kaltfügeteile Flexity Wien CM1;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500452719;Blindnietm.M6 34398060631:Böllhoff;6;ST;86;88;SP;1;PD;F;ROH;VO90;72783;W09;X
3;2;500462807;Blindnietm.M6 34398060629:Böllhoff;22;ST;86;88;SP;1;ND;F;ROH;VO90;74158;W09;X
3;3;500452740;Blindnietm.M8 34398080629:Böllhoff;10;ST;86;88;SP;1;ND;F;ROH;VO90;W-VIE001M;W09;X
3;4;500462808;Blindnietm.M8 34398080625:Böllhoff;25;ST;86;88;SP;1;ND;F;ROH;VO90;74019;W09;X
3;6;500453113;Blindnietm.M10 34366100030:Böllhoff;10;ST;86;88;SP;1;PD;F;ROH;VO90;W-VIE001M;W09;X
3;8;500500925;Blindnietm.M8 23358080055:Böllhoff;7;ST;86;88;SP;1;PD;F;ROH;VO90;74019;W09;X
3;1;500468209;Klebstoff Loctite 276;    0,058;KG;86;88;SP;1;PD;F;ROH;VO90;66009;W09;
3;1;500553878;Aktivator Loctite SF 7649;    0,000;KG;86;88;SP;1;PD;F;ROH;VO90;W-VIE001;W09;
3;1;500557798;Auflaufplättchen UB SM2 6 CM1 7;2;ST;86;88;SP;1;PD;F;ROH;VO90;74362;W11;
3;2;500430588;Blindniet MAGNA-LOK 6,5 MGLP-B8-10 Al/Al;8;ST;86;88;SP;1;PD;F;ROH;VO90;74362;W09;X
3;3;66001836S;Shop Primer F 132;    0,100;KG;86;88;SP;1;PD;F;ROH;VO90;W-VIE001M;W09;
1;2;500534512;Qualitätsicherung 2011;1;ST;86;15;SP;1;PD;E;HALB;INV;74362;;
2;1;QSCHWEIßCM1;Q- Schweißabnahme CM1 C375;1;ST;86;15;SP;300;PD;E;HALB;INV;W-VIE001M;;
1;3;500581068;Farbe 2021 Fzg. 3-16;1;ST;86;15;SP;1;PD;E;HALB;INV;74362;;
2;1;532504CM1;Anbau GFK-Aussenverkleidung CM1;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500537521;GFK A-Saeulenverkleidungr re;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;2;500537499;GFK A-Saeulenverkleidung Li;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;3;500541070;GFK Aussenverkl.Oben li. CM1;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;4;500544800;GFK Aussenverkl.C-Saeule Li kpl;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;5;500540149;GFK Aussenverkl.Oben re. kpl. CM1;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;6;500544579;GFK Aussenverkl.C-Saeule Re 2 kpl;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;7;500540233;GFK Abdeckung B-Saeule Re;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;8;500540234;GFK Abdeckung B-Saeule Li;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;9;500545760;Adapterring Analogantenne Kpl;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;10;500545761;Adapterplatte Digitalantenne Kpl;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;11;500532680;GFK-Dachhaube CM1 kpl.;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W06;
3;12;815001312;Sperrkantscheibe SKK-8 TN096740-NrFSt;12;ST;86;88;SP;1;ND;F;ROH;PK40;W-VIE001;W09;X
3;13;500327166;Sechskantschr.M8x20 ISO4017-A4-80;12;ST;86;88;SP;1;ND;F;ROH;PK40;W-VIE001;W09;X
3;14;500554106;Fahnenhalter;2;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W02;
3;15;500554154;Gewindestift M6x12 ISO4026-A4-21H;2;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W09;X
3;16;500554153;Scheibe M20 ISO7089 PA weiss;2;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W09;X
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;5,200;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,104;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,320;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;11;500340296;Loctite 243 Schraubensicherung;    0,014;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W09;
3;19;500557938;Haubenabstuetzung links;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W02;
3;20;500557939;Haubenabstuetzung rechts;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W02;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;7,800;KG;86;48;SP;1;PD;F;ROH;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,480;KG;86;88;SP;1;PD;F;ROH;PK40;74287;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;6,500;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100;    0,250;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,400;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
2;2;532684CM1;Anbau Bodenplatten CM1;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500551201;Bodenplatte Fahrerstand;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;2;500577861;Einstiegsbodenplatte CM1       PRK;1;ST;86;88;SP;1;PD;F;HALB;PK40;74362;W06;
3;3;500549989;Bodenplatte 1 CM1;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;4;500549991;Bodenplatte 2 CM1;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;5;500577935;Bodenplatte Fahrerstand 2            PRK;2;ST;86;88;SP;1;PD;F;HALB;PK40;74362;W06;
3;6;500553771;Bodenplatte Fahrerstand 3;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;13,000;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,260;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,800;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;2,500;KG;86;88;SP;1;PD;F;ROH;PK40;71219;W09;
3;4;500050017;Sika Aktivator 100;    0,130;KG;86;88;SP;1;PD;F;ROH;PK40;71219;W09;
3;1;500553890;Abdeckung Crashabsorber links;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;2;500553891;Abdeckung Crashabsorber rechts;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,026;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
2;3;532685CM1;Anbau Bodenbelag CM1;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500552477;Bodenbelag 1550x1950 CM1 FRR;1;ST;86;88;SP;100;PD;F;HALB;PK40;W-VIE001M;W06;
3;2;500552479;Bodenbelag 1810x2300 CM1 FGR;1;ST;86;88;SP;100;PD;F;HALB;PK40;W-VIE001M;W06;
3;3;500552478;Bodenbelag 280x1910 CM1 Stufe;1;ST;86;88;SP;100;PD;F;HALB;PK40;W-VIE001M;W06;
3;4;500539307;Sitzbefestigungsprofil CM1 kpl;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;5;500549993;Sockelrundung CM1;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W02;
3;6;500551955;Trittwinkel Trennwand;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W05;
3;7;500552041;Trittwinkel Einstieg CM1;2;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W02;
3;8;500548989;Fussboden Abschlussklotz;2;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;9;500553130;Antirutschbelag 19x702 gelb;1;ST;86;88;SP;1;PD;F;HALB;PK40;W-VIE001M;W02;
3;10;500553105;Antirutschbelag 51x210 gelb;2;ST;86;88;SP;1;ND;F;HALB;PK40;W-VIE001M;W02;X
3;11;650118938;Blechschr.ST4,2x9,5-C-H ISO7050-A2-70;4;ST;86;88;SP;1;PD;F;ROH;PK40;73820;W09;X
3;12;650118938;Blechschr.ST4,2x9,5-C-H ISO7050-A2-70;3;ST;86;88;SP;1;PD;F;ROH;PK40;73820;W09;X
3;13;812019269;Senkschraube M4x12 ISO10642-A2-70;4;ST;86;88;SP;1;ND;F;ROH;PK40;W-VIE001M;W09;X
3;14;500523834;Sicherungsschr.M10x30 Verbus-Ripp-100;10;ST;86;88;SP;1;ND;F;ROH;PK40;W-VIE001M;W09;X
3;15;500552059;Beilage Bl 1x30x38 mit Lasche;10;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;X
3;1;700044595;Teroson SB 60 HO10,5Kg;2,400;KG;86;88;SP;1;PD;F;ROH;PK40;62914;W09;
3;17;500581441;1K-Fugenmasse NORA Farbe 6527;1,200;KG;86;88;SP;1;PD;F;ROH;PK40;74656;W09;
3;1;500421553;Klebstoff Terostat MS 935 schwarz;    0,000;KG;86;88;SP;1;PD;F;ROH;PK40;70887;W09;
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;    0,000;KG;86;88;SP;1;PD;F;ROH;PK40;71219;W09;
3;4;500050017;Sika Aktivator 100;    0,000;KG;86;88;SP;1;PD;F;ROH;PK40;71219;W09;
3;1;500546972;Klebstoff Teroson MS 9399 grau 2x200ml;    0,000;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500287173;Primer 3M 94;    0,010;KG;86;88;SP;1;PD;F;ROH;PK40;W-FIN001;W09;
3;2;700032707;Safety Walk Kantenschutzversiegelung;    0,020;KG;86;88;SP;1;PD;F;ROH;PK40;W-FIN001;W09;
3;11;500340296;Loctite 243 Schraubensicherung;    0,010;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W09;
3;1;500562465;Luftauslass CM kpl;2;ST;86;88;SP;1;PD;F;ROH;PK40;72581;W05;
3;2;500372958;Senkschr.M6x16 ISO10642-A4-80;12;ST;86;88;SP;1;ND;F;ROH;PK40;W-VIE001M;W09;X
3;11;500340296;Loctite 243 Schraubensicherung;    0,012;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001;W09;
2;4;554687CM1;Anbau Handklapprampe;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500606527;Handklapprampe CM;1;ST;86;88;SP;1;PD;F;ROH;PK40;75908;W01;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,026;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;1,250;KG;86;88;SP;1;PD;F;ROH;PK40;71219;W09;
3;4;500050017;Sika Aktivator 100;    0,065;KG;86;88;SP;1;PD;F;ROH;PK40;71219;W09;
2;5;532506CM1;Montage Vorbau Fenster CM1 ER 1T;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500545559;Seitenfenstersystem rechts CM1;1;ST;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,026;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;74287;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100;    0,050;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500577863;Seitenfenstersystem links CM1    PRK;1;ST;86;88;SP;1;PD;F;HALB;PK40;74328;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,026;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;74287;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100;    0,050;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500577848;Montagerahmen Front-/ Heckfenster;1;ST;86;88;SP;1;PD;F;LBEI;PK40;74328;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;2,600;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,052;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,160;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;3;500545562;Scheibeneinfassrahmen;1;ST;86;88;SP;1;PD;F;LBEI;PK40;72822;W06;
3;4;500545563;Füllerrahmen;1;ST;86;88;SP;1;PD;F;LBEI;PK40;72822;W06;
3;5;500545564;Frontscheibe;1;ST;86;88;SP;1;PD;F;LBEI;PK40;72822;W06;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;2,600;KG;86;48;SP;1;PD;F;ROH;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,160;KG;86;88;SP;1;PD;F;ROH;PK40;74287;W09;
3;1;500577840;Seitenfenster FGR CM1        PRK;1;ST;86;88;SP;1;PD;F;HALB;PK40;74328;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;2,600;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;    0,052;KG;86;48;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,160;KG;86;88;SP;1;PD;F;ROH;PK40;W-VIE001M;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;1,300;KG;86;48;SP;1;PD;F;ROH;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207;    0,080;KG;86;88;SP;1;PD;F;ROH;PK40;74287;W09;
2;7;532522CM1_Z;Kabelverlegung Unterbau CM1 Fzg. 3-16;1;ST;86;15;SP;300;PD;E;HALB;INV;74362;;
3;1;500532523_Z1;Kabelbaum Unterbau CM1-UF-001;1;ST;86;15;SP;200;PD;E;HALB;E1FL;74362;;
4;1;500555928;Verschraubungsplatte UG CM1_7;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;74362;W05;
4;2;500555927;Dichtung 3x85x110 AM M162 EPDM;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;74362;W10;X
4;540;500175552;Gegenm.M25x1,5 225/5 Ms,vern.;2;ST;86;88;SP;1;ND;F;ROH;ESTECK3;74362;W04;X
4;559;500034561;Schutzschlauch PMA-Flex NW17 PCST-17B;2,090;M;86;88;SP;1;PD;F;ROH;ESTECK3;74702;W11;
4;585;500492853;Verschraubung Bogenwinkel NKBH-M257-11;2;ST;86;88;SP;1;ND;F;ROH;ESTECK3;74362;W11;X
4;599;500175495;Flachdichtung M25 Di25 Da31 2,5dick PTFE;2;ST;86;88;SP;1;ND;F;ROH;ESTECK3;74362;W09;X
4;1001;500532523_Z;Zuschnitt Kabelbaum Unterbau CM1-UF-001;1;ST;86;15;SP;200;PD;E;HALB;ESTECK3;74362;;
5;371;500422653;Radox EN50306-2 300V 1x1,5mm2;20,000;M;86;88;SP;1;PD;F;ROH;EZ01;75034;W11;
5;392;500543502;Kabel Radox TW/S EMC 24x0,34mm2;8,000;M;86;88;SP;1;PD;F;ROH;EZ01;75034;W12;
4;1;500408827;Vollmetallgehäuse 61030012017 Harting;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W11;X
4;10;500386479;Stiftleiste 09670255601 Harting;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W11;X
4;30;500348397;Kontaktstift 0,25-0,52mm2 D-Sub, Au;24;ST;86;88;SP;1;ND;F;ROH;ESTECK3;73709;W04;X
4;50;500483877;Kabelklemme 9-12mm InduCom D-Sub;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W11;X
4;1;500551095;Sockelgehäuse BG 16A 1xM25,seitlich;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W11;X
4;10;500461615;Buchseneinsatz Han 25D, BG 16A;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W11;X
4;30;500036051;Kontaktbuchse 0,14-0,37mm2 Han D, Au;22;ST;86;88;SP;1;ND;F;ROH;ESTECK3;72522;W10;X
4;60;500446818;Anschlussarmatur NKNH-M257-11: PMA;1;ST;86;88;SP;1;ND;F;ROH;ESTECK3;W-VIE001;W11;X
4;61;500190715;Flachdichtung M25 Di25 Da31 1,0dick PTFE;1;ST;86;88;SP;1;ND;F;ROH;ESTECK3;W-VIE001;W09;X
4;11;500340296;Loctite 243 Schraubensicherung;    0,001;KG;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W09;
4;1;500523500;Anbausockelgehäuse Han HPR, BG 3A M20;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W11;X
4;10;500040072;Buchseneinsatz Han 8D, BG 3A;1;ST;86;88;SP;1;ND;F;ROH;ESTECK3;W-VIE001;W10;X
4;20;500019895;Kontaktbuchse;8;ST;86;88;SP;1;ND;F;ROH;ESTECK3;W-VIE001;W04;X
4;60;500446817;Anschlussarmatur NKNH-M207-10: PMA;1;ST;86;88;SP;1;ND;F;ROH;ESTECK3;W-VIE001;W12;X
4;11;500340296;Loctite 243 Schraubensicherung;    0,001;KG;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001;W09;
4;1;81611494S;1-Leiter-Federleiste X-COM 5pol.grau;1;ST;86;88;SP;1;ND;F;ROH;ESTECK3;W-VIE001M;W05;X
4;40;81611327S;Zugentlastungsplatte X-COM 4-5pol.grau;1;ST;86;88;SP;1;PD;F;ROH;ESTECK3;W-VIE001M;W05;X
3;50;500374847;Schellenkörper 321,3/21,3 PAH;2;ST;86;88;SP;1;ND;F;ROH;E1FL;74362;W11;X
3;51;500009182;Schellenkörper 110A PA;2;ST;86;88;SP;1;ND;F;ROH;E1FL;74362;W10;X
3;149;500331679;Zylinderschr.M6x20 ISO4762-A4-80;4;ST;86;88;SP;1;ND;F;ROH;E1FL;74362;W09;X
3;152;500443900;Zylinderschr.M6x30 ISO4762-A4-70;4;ST;86;88;SP;1;ND;F;ROH;E1FL;74362;W09;X
3;153;500331339;Zylinderschr.M8x30 DIN7984-A4-70;2;ST;86;88;SP;1;ND;F;ROH;E1FL;75276;W09;X
3;154;500555338;Zylinderschr.M4x16 DIN7984-A4-70;4;ST;86;88;SP;1;PD;F;ROH;E1FL;74702;W09;X
3;155;500563642;Zylinderschr.M5x16 ISO4762-A4-80;5;ST;86;88;SP;1;ND;F;ROH;E1FL;74362;W09;X
3;156;500336098;Zylinderschr.M4x12 DIN7984-A4-70;4;ST;86;88;SP;1;ND;F;ROH;E1FL;74702;W09;X
3;157;500489806;Zylinderschr.M6x16 DIN7984-A4-70;2;ST;86;88;SP;1;ND;F;ROH;E1FL;74702;W09;X
3;208;650010409;Sechskantm.M5 ISO4032 A4-80;5;ST;86;88;SP;1;ND;F;ROH;E1FL;74362;W09;X
3;300;812020177;Sperrkantscheibe SKS-4-NrFSt;8;ST;86;88;SP;1;ND;F;ROH;E1FL;74702;W09;X
