Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ÄndNr;ArbPlatz;EKG;SchGut
6;10;500437633;Schweissm.M16 DIN929-A4;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W09;X
6;381;500428238;Punktnaht für Schweißmutter EN15085-3;1;ST;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,718;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    0,471;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;452;500440390;Doppel-KN a4 EN15085-3 CPC2 G199L;    0,574;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;562;500446210;Langlochnaht 8 EN15085-3 CPC2 G199L;    0,160;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;571;500454527;Langlochnaht 5 EN15085-3 CPC2 G199L;    0,020;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;;X
6;1218;500434910;Kehlnaht a3 EN15085-3 CPC2 G2293NL;1,341;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;1237;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,043;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;1238;500438158;Doppel-KN a4 EN15085-3 CPC2 G2293NL;    0,877;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;1286;500441886;Y-Naht_7_CPC2__EN15085-3_G2293NL;    0,452;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
6;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    0,245;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
