Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;R;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
 7;0433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    0,170;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 7;0444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,090;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 7;0451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    0,274;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72783;W90;X
 7;0519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,207;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71404;W90;X
 7;1237;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,256;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71713;W90;X
 7;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    1,496;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71713;W90;X
 6;0002;500533397;Puffertraeger CM1 kpl. Re;        1;ST;1;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
 7;0001;500539081;Flanschplatte Re;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 7;0002;500539071;Blech RE Puffertraeger;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 7;0003;500539073;Rippe;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 7;0004;500539072;Versteifung Re;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 7;0433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    0,170;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 7;0444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,090;M;1;86;88;SP;001;PD;F;KBEI;S4BS;W-VIE001M;W90;X
 7;0451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;    0,274;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72783;W90;X
 7;0519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,207;M;1;86;88;SP;001;PD;F;KBEI;S4BS;72783;W90;X
 7;1237;500434857;Doppel-KN a3 EN15085-3 CPC2 G2293NL;    0,256;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71713;W90;X
 7;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    1,496;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71713;W90;X
 6;0003;500539079;Quertraeger vorn;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0004;500539125;Blech Trittstufe;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0005;500539128;Obergurt;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0006;500539129;Konsole re;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0007;500539124;Konsole Mitte;        2;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0008;500539123;Konsole li;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0009;500539121;Rippe re;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0010;500539122;Rippe li;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0011;500539127;Untergurt;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0012;500539126;U-Profil Anhebestelle;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0013;500539078;Rippe Anhebestelle;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0014;500539077;Buchse;        4;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W05;
 6;0015;500437633;Schweissm.M16 DIN929-A4;        2;ST;;86;88;SP;001;PD;F;ROH;S4BS;W-VIE001M;W09;X
 6;0016;500548849;Rippe Mitte CM1;        1;ST;;86;88;SP;001;PD;F;ROH;S4BS;71404;W05;
 6;0381;500428238;Punktnaht für Schweißmutter EN15085-3;        2;ST;1;86;88;SP;001;PD;F;KBEI;S4BS;71404;W90;X
 6;0431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    1,668;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;W90;X
 6;0433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;    1,042;M;1;86;88;SP;001;PD;F;KBEI;S4BS;73224;W90;X
 6;0435;500542903;Kehlnaht a6 EN15085-3 CPC2 G199L;    0,908;M;1;86;88;SP;001;PD;F;KBEI;S4BS;71404;;X
